id,count
0,15
1,11
2,2
3,9
4,8
5,10
6,6
7,10
8,8
9,7
10,6
11,7
12,10
13,13
14,6
15,6
16,8
17,18
18,14
19,16
20,11
21,10
22,9
23,6
24,9
25,8
26,9
27,8
28,8
29,13
30,9
31,9
32,15
33,14
34,7
35,7
36,7
37,12
38,8
39,13
40,11
41,11
42,7
43,10
44,10
45,9
46,7
47,12
48,14
49,16
50,5
51,4
52,9
53,6
54,8
55,5
56,7
57,3
58,7
59,13
60,13
61,10
62,5
63,10
64,11
65,11
66,11
67,13
68,9
69,8
70,4
71,5
72,7
73,10
74,5
75,7
76,13
77,7
78,13
79,9
80,17
81,14
82,12
83,9
84,13
85,10
86,10
87,12
88,9
89,2
90,3
91,4
92,9
93,10
94,10
95,7
96,9
97,10
98,7
99,8
100,9
101,4
102,6
103,7
104,4
105,10
106,4
107,5
108,4
109,6
110,9
111,5
112,9
113,9
114,10
115,7
116,4
117,7
118,5
119,9
120,15
121,9
122,8
123,9
124,10
125,8
126,6
127,5
128,8
129,7
130,3
131,4
132,7
133,4
134,8
135,6
136,9
137,11
138,6
139,5
140,7
141,10
142,6
143,14
144,9
145,10
146,12
147,15
148,11
149,17
150,7
151,8
152,12
153,11
154,12
155,10
156,6
157,8
158,11
159,5
160,4
161,3
162,4
163,9
164,11
165,15
166,6
167,3
168,4
169,6
170,11
171,3
172,7
173,6
174,4
175,8
176,14
177,10
178,6
179,12
180,8
181,11
182,9
183,9
184,6
185,10
186,12
187,9
188,6
189,6
190,19
191,15
192,11
193,10
194,5
195,3
196,6
197,14
198,8
199,12
