id,count
0,11
1,14
2,2
3,5
4,2
5,5
6,3
7,9
8,9
9,5
10,4
11,9
12,11
13,11
14,3
15,6
16,8
17,18
18,8
19,19
20,10
21,8
22,11
23,4
24,9
25,8
26,10
27,11
28,10
29,11
30,8
31,8
32,12
33,9
34,11
35,8
36,7
37,8
38,4
39,9
40,6
41,11
42,8
43,6
44,9
45,11
46,7
47,7
48,10
49,10
50,4
51,4
52,12
53,9
54,8
55,2
56,9
57,11
58,6
59,13
60,13
61,11
62,2
63,6
64,5
65,12
66,13
67,12
68,6
69,7
70,1
71,6
72,6
73,8
74,4
75,5
76,9
77,9
78,13
79,6
80,10
81,9
82,15
83,6
84,9
85,11
86,14
87,12
88,12
89,6
90,3
91,4
92,6
93,8
94,8
95,5
96,12
97,7
98,7
99,7
100,8
101,7
102,7
103,6
104,2
105,13
106,5
107,4
108,8
109,8
110,3
111,2
112,6
113,7
114,8
115,5
116,7
117,9
118,5
119,6
120,9
121,5
122,7
123,11
124,9
125,7
126,5
127,6
128,11
129,12
130,2
131,4
132,8
133,8
134,11
135,12
136,4
137,5
138,3
139,3
140,6
141,8
142,3
143,10
144,9
145,8
146,12
147,6
148,13
149,16
150,9
151,10
152,9
153,11
154,7
155,9
156,9
157,11
158,10
159,5
160,1
161,1
162,4
163,7
164,13
165,15
166,5
167,4
168,3
169,8
170,5
171,3
172,6
173,3
174,5
175,10
176,13
177,7
178,8
179,10
180,14
181,11
182,16
183,5
184,7
185,9
186,17
187,8
188,8
189,12
190,15
191,14
192,10
193,9
194,6
195,6
196,7
197,8
198,11
199,16
